id x y z
0 0.082234546 0.098269613 0.000000000
1 0.071775861 0.059505497 0.000000000
2 0.035539178 0.051991717 0.000000000
3 0.071944109 0.043053095 0.000000000
4 0.061486939 0.054473669 0.000000000
5 0.063106283 0.109078840 0.000000000
6 0.072163638 0.031850384 0.000000000
7 0.081975763 0.022818038 0.000000000
8 0.003328115 0.085185530 0.000000000
9 0.065139289 0.068499985 0.000000000
10 0.034820068 0.081593909 0.000000000
11 0.115113585 0.119614382 0.000000000
12 0.036892792 0.072789042 0.000000000
13 0.120133268 0.091547780 0.000000000
14 0.079260518 0.044519653 0.000000000
15 0.065726845 0.062382417 0.000000000
16 0.078392103 0.004130126 0.000000000
17 0.076624541 0.062638585 0.000000000
18 0.087262750 0.054193097 0.000000000
19 0.077472502 0.115514834 0.000000000
20 0.098537656 0.062609269 0.000000000
21 0.071026565 0.114165001 0.000000000
22 0.103679969 0.061345438 0.000000000
23 0.058841910 0.087115736 0.000000000
24 0.096130422 0.016107669 0.000000000
25 0.036243455 0.065032676 0.000000000
26 0.004043512 0.070147516 0.000000000
27 0.081574501 0.065874979 0.000000000
28 0.068394444 0.085864365 0.000000000
29 0.040200331 0.015069941 0.000000000
30 0.002214583 0.006435957 0.000000000
31 0.039755200 0.038158045 0.000000000
32 0.048894203 0.102824515 0.000000000
33 0.103677501 0.062631879 0.000000000
34 0.075523455 0.109661433 0.000000000
35 0.044594725 0.071069918 0.000000000
36 0.071768663 0.063149598 0.000000000
37 0.051197064 0.023935713 0.000000000
38 0.125936612 0.037876315 0.000000000
39 0.109063475 0.048832507 0.000000000
40 0.075779121 0.044438775 0.000000000
41 0.094947862 0.085280310 0.000000000
42 0.026080728 0.041592274 0.000000000
43 0.100960930 0.055134191 0.000000000
44 0.095458095 0.008091723 0.000000000
45 0.123513530 0.115546782 0.000000000
46 0.027409864 0.107300820 0.000000000
47 0.012178134 0.047138648 0.000000000
48 0.013793232 0.059820063 0.000000000
49 0.125317251 0.055569442 0.000000000
50 0.088286484 0.110611381 0.000000000
51 0.022085217 0.023776746 0.000000000
52 0.088517210 0.083431114 0.000000000
53 0.108973449 0.090268250 0.000000000
54 0.072394478 0.018748532 0.000000000
55 0.115788349 0.073615772 0.000000000
56 0.034245530 0.101309924 0.000000000
57 0.060523449 0.122725939 0.000000000
58 0.097964172 0.114926430 0.000000000
59 0.050257458 0.009009905 0.000000000
60 0.074781339 0.121526563 0.000000000
61 0.014809688 0.089328675 0.000000000
62 0.048741609 0.117941498 0.000000000
63 0.092947363 0.046782030 0.000000000
64 0.025115638 0.093485421 0.000000000
65 0.009719925 0.063573914 0.000000000
66 0.024880202 0.057513318 0.000000000
67 0.068909935 0.097066165 0.000000000
68 0.055891712 0.010146494 0.000000000
69 0.042455022 0.083218507 0.000000000
70 0.027859785 0.022255501 0.000000000
71 0.001926491 0.070078208 0.000000000
72 0.065601016 0.090871349 0.000000000
73 0.079848235 0.101467107 0.000000000
74 0.004462338 0.067605247 0.000000000
75 0.021707576 0.107691424 0.000000000
76 0.024772077 0.032662648 0.000000000
77 0.012756526 0.085245339 0.000000000
78 0.035800108 0.108881697 0.000000000
79 0.059240272 0.047423081 0.000000000
80 0.035932810 0.025549739 0.000000000
81 0.040766108 0.080083480 0.000000000
82 0.124804434 0.073434485 0.000000000
83 0.118142311 0.011135054 0.000000000
84 0.106217124 0.042369147 0.000000000
85 0.004549725 0.085501240 0.000000000
86 0.023781397 0.022577455 0.000000000
87 0.018275187 0.041683272 0.000000000
88 0.049585228 0.067121129 0.000000000
89 0.054878885 0.040568079 0.000000000
90 0.023821094 0.012464586 0.000000000
91 0.076682766 0.102070731 0.000000000
92 0.026555198 0.020334067 0.000000000
93 0.026717935 0.042711620 0.000000000
94 0.035578531 0.046839743 0.000000000
95 0.055706129 0.001205999 0.000000000
96 0.064078958 0.067831133 0.000000000
97 0.031367477 0.064013866 0.000000000
98 0.083408061 0.050327088 0.000000000
99 0.021657926 0.002738563 0.000000000
100 0.054409105 0.065731267 0.000000000
101 0.089529173 0.013872536 0.000000000
102 0.071602842 0.021146372 0.000000000
103 0.086864019 0.041789125 0.000000000
104 0.057408320 0.111913529 0.000000000
105 0.015236188 0.005107671 0.000000000
106 0.119905929 0.095587457 0.000000000
107 0.063142684 0.100668645 0.000000000
108 0.111984016 0.003385067 0.000000000
109 0.093819520 0.121418878 0.000000000
110 0.116344416 0.025429553 0.000000000
111 0.115513584 0.055551512 0.000000000
112 0.004985407 0.070990108 0.000000000
113 0.066375142 0.122054032 0.000000000
114 0.078598120 0.058503363 0.000000000
115 0.086909343 0.024781533 0.000000000
116 0.068341253 0.011610403 0.000000000
117 0.004446344 0.079871185 0.000000000
118 0.030798644 0.120801824 0.000000000
119 0.047187211 0.078201117 0.000000000
120 0.020904004 0.052258278 0.000000000
121 0.070742413 0.036620347 0.000000000
122 0.070430456 0.042524829 0.000000000
123 0.107003088 0.067761127 0.000000000
124 0.024558088 0.067661240 0.000000000
125 0.121936455 0.064616728 0.000000000
126 0.125015982 0.059630607 0.000000000
127 0.115423313 0.061781543 0.000000000
128 0.022971320 0.112132881 0.000000000
129 0.050103442 0.053097661 0.000000000
130 0.076503807 0.073494102 0.000000000
131 0.033718533 0.064174016 0.000000000
132 0.066702378 0.050620684 0.000000000
133 0.063818932 0.002329320 0.000000000
134 0.047895811 0.115074698 0.000000000
135 0.111754737 0.034699422 0.000000000
136 0.085064666 0.007272270 0.000000000
137 0.059603075 0.126489007 0.000000000
138 0.018855452 0.040554303 0.000000000
139 0.079610002 0.031192160 0.000000000
140 0.000740669 0.003095575 0.000000000
141 0.117876911 0.062462343 0.000000000
